sector,symbols_list
NIFTY AUTO,"['M&M', 'EXIDEIND', 'HEROMOTOCO', 'EICHERMOT', 'BAJAJ-AUTO', 'TVSMOTOR', 'SONACOMS', 'BHARATFORG', 'MOTHERSON', 'UNOMINDA', 'MARUTI', 'TMPV', 'BOSCHLTD', 'ASHOKLEY', 'TIINDIA']"
NIFTY 50,"['M&M','ADANIENT','SUNPHARMA','KOTAKBANK','EICHERMOT','HINDUNILVR','DRREDDY','BAJAJ-AUTO','ADANIPORTS','BAJFINANCE','RELIANCE','SBIN','TECHM','CIPLA','JSWSTEEL','HINDALCO','APOLLOHOSP','MAXHEALTH','TATASTEEL','ITC','WIPRO','TCS','LT','JIOFIN','GRASIM','MARUTI','TITAN','TMPV','NTPC','ASIANPAINT','ICICIBANK','INDIGO','HDFCBANK','ULTRACEMCO','HCLTECH','TRENT','AXISBANK','NESTLEIND','BEL','BAJAJFINSV','ONGC','COALINDIA','TATACONSUM','INFY','BHARTIARTL','ETERNAL','SHRIRAMFIN','POWERGRID','HDFCLIFE','SBILIFE']"
NIFTY IT,"['LTIM','MPHASIS','TECHM','COFORGE','WIPRO','TCS','HCLTECH','INFY','OFSS','PERSISTENT']"
NIFTY BANK,"['FEDERALBNK','BANKBARODA','KOTAKBANK','AUBANK','SBIN','INDUSINDBK','CANBK','PNB','ICICIBANK','HDFCBANK','AXISBANK','IDFCFIRSTB']"
NIFTY REALTY,"['GODREJPROP','PRESTIGE','BRIGADE','DLF','SIGNATURE','SOBHA','PHOENIXLTD','LODHA','OBEROIRLTY','ANANTRAJ']"
NIFTY FMCG,"['VBL','RADICO','HINDUNILVR','EMAMILTD','UNITDSPR','BRITANNIA','GODREJCP','ITC','DABUR','COLPAL','UBL','NESTLEIND','PATANJALI','TATACONSUM','MARICO']"
NIFTY ENERGY,"['POWERINDIA','ADANIGREEN','ENRIN','ADANIENSOL','IGL','ATGL','JPPOWER','AEGISLOG','CASTROLIND','RELIANCE','INOXWIND','TORNTPOWER','JSWENERGY','NTPC','BHEL','ADANIPOWER','SIEMENS','NHPC','GVT&D','ONGC','COALINDIA','TATAPOWER','PETRONET','THERMAX','RPOWER','OIL','CESC','CGPOWER','IOC','HINDPETRO','ABB','MGL','POWERGRID','SJVN','SUZLON','GUJGASLTD','BPCL','NLCINDIA','GSPL','GAIL']"
NIFTY PVT BANK,"['FEDERALBNK','KOTAKBANK','BANDHANBNK','YESBANK','RBLBANK','INDUSINDBK','ICICIBANK','HDFCBANK','AXISBANK','IDFCFIRSTB']"
NIFTY CONSUMPTION,"['VBL','M&M','INDHOTEL','HEROMOTOCO','EICHERMOT','HINDUNILVR','HAVELLS','BAJAJ-AUTO','TVSMOTOR','UNITDSPR','BRITANNIA','APOLLOHOSP','MAXHEALTH','GODREJCP','ITC','MARUTI','TITAN','DLF','DIXON','ASIANPAINT','ADANIPOWER','INDIGO','DMART','TRENT','NESTLEIND','TATACONSUM','TATAPOWER','NAUKRI','BHARTIARTL','ETERNAL']"
NIFTY METAL,"['HINDZINC','VEDL','ADANIENT','JINDALSTEL','JSWSTEEL','HINDALCO','HINDCOPPER','LLOYDSME','TATASTEEL','JSL','NATIONALUM','NMDC','SAIL','APLAPOLLO','WELCORP']"
NIFTY COMMODITIES,"['SRF','VEDL','ADANIGREEN','ADANIENSOL','JINDALSTEL','RELIANCE','JSWSTEEL','HINDALCO','TORNTPOWER','JSWENERGY','AMBUJACEM','TATASTEEL','PIDILITIND','GRASIM','UPL','NTPC','ADANIPOWER','ULTRACEMCO','NHPC','NMDC','ONGC','COALINDIA','TATAPOWER','APLAPOLLO','OIL','PIIND','IOC','HINDPETRO','SHREECEM','BPCL']"
NIFTY HEALTHCARE,"['IPCALAB','LAURUSLABS','ABBOTINDIA','SUNPHARMA','SYNGENE','DRREDDY','PPLPHARMA','LUPIN','ZYDUSLIFE','CIPLA','GLENMARK','APOLLOHOSP','MANKIND','MAXHEALTH','ALKEM','FORTIS','BIOCON','DIVISLAB','TORNTPHARM','AUROPHARMA']"
NIFTY OIL AND GAS,"['IGL','ATGL','AEGISLOG','CASTROLIND','RELIANCE','ONGC','PETRONET','OIL','IOC','HINDPETRO','MGL','GUJGASLTD','BPCL','GSPL','GAIL']"
NIFTY CHEMICALS,"['SRF','BAYERCROP','SWANCORP','SUMICHEM','AARTIIND','COROMANDEL','DEEPAKNTR','PIDILITIND','NAVINFLUOR','UPL','SOLARINDS','CHAMBLFERT','PCBL','DEEPAKFERT','ATUL','TATACHEM','PIIND','FLUOROCHEM','LINDEINDIA','HSCL']"
NIFTY MEDIA,"['ZEEL','TIPSMUSIC','NETWORK18','PVRINOX','HATHWAY','NAZARA','SAREGAMA','PFOCUS','DBCORP','SUNTV']"
NIFTY PHARMA,"['IPCALAB','LAURUSLABS','ABBOTINDIA','SUNPHARMA','AJANTPHARM','DRREDDY','PPLPHARMA','LUPIN','ZYDUSLIFE','CIPLA','GLENMARK','MANKIND','ALKEM','JBCHEPHARM','BIOCON','DIVISLAB','TORNTPHARM','GLAND','AUROPHARMA','WOCKPHARMA']"
NIFTY CONSR DURBL,"['KALYANKJIL','AMBER','VGUARD','PGEL','HAVELLS','BLUESTARCO','WHIRLPOOL','BATAINDIA','TITAN','DIXON','CROMPTON','CERA','CENTURYPLY','KAJARIACER','VOLTAS']"
